domain_pattern	org	role	rtb_exchange	external_seat	confidence	source
bidmachine.io	Appodeal (BidMachine)	exchange	yes	unknown	high	BidMachine - Appodeal's exchange, and the SDK actually present on his phone (the DEX hit is io/bidmachine x28 in com.sofascore.results; com/appodeal does NOT hit, so the app embeds the EXCHANGE SDK, not Appodeal mediation). own-extract io.bidmachine:ads:3.7.1 (2026-08-15), class io/bidmachine/UrlProvider, verbatim constants: DEF_BASE_URL=https://api.bidmachine.io, path segments PATH_INIT=init, PATH_AUCTION=auction, PATH_RTB=rtb, PATH_V3=v3, assembled by createInitUrl/createAuctionUrl via Uri.buildUpon().appendPath(). own-dns 2026-08-15 (Google AND Cloudflare DoH, bypassing this node's blocking resolver): 104.18.2.182/104.18.3.182 (Cloudflare); control nonexistent-probe-control.bidmachine.io is NXDOMAIN, so the zone is not a wildcard. own-https 2026-08-15: GET / answers 404 over TLS from the real IP with proxy env unset - a LIVE server, not a parked name; it does NOT prove the auction path still serves. rtb_exchange=yes on the vendor's own words: "BidMachine Exchange is currently working with openRTB 2.3 version" - https://docs.bidmachine.io/docs/macros-for-bid-response. external_seat=unknown: the ENTIRE public doc set (index https://docs.bidmachine.io/llms.txt) is supply-side - SDK integration, mediation adapters, ad-ops, payments, reporting - with no DSP onboarding page, no bid-request spec, no bidder endpoint and no demand contact. STRUCTURAL: setAuctionUrlFromInit / setAuctionUrlFromSuccessRequest mean the INIT RESPONSE replaces the auction host at runtime, so this list is a snapshot like Chartboost's and Amazon's, not a contract.
everestop.io	Appodeal (BidMachine)	exchange	yes	unknown	high	BidMachine AUCTION MIRROR on a domain carrying NO vendor string - the telemetry.tk0x1.com trap again, three times over and rotating. own-extract io.bidmachine:ads:3.7.1 (2026-08-15), <clinit> of io/bidmachine/UrlProvider: DEF_BASE_URLS = {https://x.everestop.io, https://x.blueduckredapple.com, https://x.thecatmachine.com}, loaded into INIT_URL_QUEUE and AUCTION_URL_QUEUE (ConcurrentLinkedQueue) - the SDK CYCLES through them, so a bidmachine.io-only suffix rule misses three of the four auction bases. The identical set is already in ads:2.7.0 (published 2024-05-08), so this is long-standing, not a new evasion. own-dns 2026-08-15 (Google+Cloudflare): x.everestop.io -> 104.26.13.22 / 104.26.12.22 / 172.67.71.86; the apex everestop.io returns NOERROR with no A record, so match the SUFFIX not the apex. own-https 2026-08-15: GET https://x.everestop.io/ answers 404 over TLS. ORG ATTRIBUTION IS INFERRED, NOT REGISTRANT-VERIFIED: what is proven is PURPOSE - the literal sits in BidMachine's own UrlProvider beside DEF_BASE_URL; the ownership link is that bidmachine.io, everestop.io, blueduckredapple.com and thecatmachine.com all delegate to the SAME Cloudflare NS pair cleo.ns.cloudflare.com + dora.ns.cloudflare.com (own-dns NS query 2026-08-15), which is a DIFFERENT pair from Appodeal's own nitin+pat. Exchange status and seat: see bidmachine.io.
blueduckredapple.com	Appodeal (BidMachine)	exchange	yes	unknown	high	BidMachine AUCTION MIRROR on a domain carrying NO vendor string - the telemetry.tk0x1.com trap again, three times over and rotating. own-extract io.bidmachine:ads:3.7.1 (2026-08-15), <clinit> of io/bidmachine/UrlProvider: DEF_BASE_URLS = {https://x.everestop.io, https://x.blueduckredapple.com, https://x.thecatmachine.com}, loaded into INIT_URL_QUEUE and AUCTION_URL_QUEUE (ConcurrentLinkedQueue) - the SDK CYCLES through them, so a bidmachine.io-only suffix rule misses three of the four auction bases. The identical set is already in ads:2.7.0 (published 2024-05-08), so this is long-standing, not a new evasion. own-dns 2026-08-15 (Google+Cloudflare): x.blueduckredapple.com -> 172.64.80.1, the SAME address as x.thecatmachine.com; the apex blueduckredapple.com returns NOERROR with no A record. own-https 2026-08-15: GET https://x.blueduckredapple.com/ answers 404 over TLS. ORG ATTRIBUTION IS INFERRED, NOT REGISTRANT-VERIFIED: what is proven is PURPOSE - the literal sits in BidMachine's own UrlProvider beside DEF_BASE_URL; the ownership link is that bidmachine.io, everestop.io, blueduckredapple.com and thecatmachine.com all delegate to the SAME Cloudflare NS pair cleo.ns.cloudflare.com + dora.ns.cloudflare.com (own-dns NS query 2026-08-15), which is a DIFFERENT pair from Appodeal's own nitin+pat. Exchange status and seat: see bidmachine.io.
thecatmachine.com	Appodeal (BidMachine)	exchange	yes	unknown	high	BidMachine AUCTION MIRROR on a domain carrying NO vendor string - the telemetry.tk0x1.com trap again, three times over and rotating. own-extract io.bidmachine:ads:3.7.1 (2026-08-15), <clinit> of io/bidmachine/UrlProvider: DEF_BASE_URLS = {https://x.everestop.io, https://x.blueduckredapple.com, https://x.thecatmachine.com}, loaded into INIT_URL_QUEUE and AUCTION_URL_QUEUE (ConcurrentLinkedQueue) - the SDK CYCLES through them, so a bidmachine.io-only suffix rule misses three of the four auction bases. The identical set is already in ads:2.7.0 (published 2024-05-08), so this is long-standing, not a new evasion. own-dns 2026-08-15 (Google+Cloudflare): x.thecatmachine.com -> 172.64.80.1, the SAME address as x.blueduckredapple.com; the apex thecatmachine.com returns NOERROR with no A record. own-https 2026-08-15: GET https://x.thecatmachine.com/ answers 404 over TLS. ORG ATTRIBUTION IS INFERRED, NOT REGISTRANT-VERIFIED: what is proven is PURPOSE - the literal sits in BidMachine's own UrlProvider beside DEF_BASE_URL; the ownership link is that bidmachine.io, everestop.io, blueduckredapple.com and thecatmachine.com all delegate to the SAME Cloudflare NS pair cleo.ns.cloudflare.com + dora.ns.cloudflare.com (own-dns NS query 2026-08-15), which is a DIFFERENT pair from Appodeal's own nitin+pat. Exchange status and seat: see bidmachine.io.
appbaqend.com	Appodeal	mediation	unknown	unknown	high	Appodeal's UNBRANDED API domain - a second no-vendor-string case, and the one an Appodeal rule is most likely to miss. own-extract com.appodeal.ads.sdk:core:4.3.0 (2026-08-15), class com/appodeal/ads/l0: https://c.appbaqend.com:443 sits beside randomize_offers / last_sdk_version / SDK_VERSION and a waterfall_filter type, i.e. the SDK init + waterfall-config call. own-extract com.appodeal.ads.sdk.networks:bidon:4.0.0.0 (2026-08-15): https://b.appbaqend.com is Bidon's (Appodeal's mediation engine) base. OWNERSHIP IS HARD HERE, two independent ways: c.appbaqend.com resolves to 185.106.140.166 and api.appodeal.com resolves to the SAME single address (own-dns 2026-08-15, Google+Cloudflare), and appbaqend.com and appodeal.com delegate to the SAME Cloudflare NS pair nitin.ns.cloudflare.com + pat.ns.cloudflare.com; control nonexistent-probe-control.appbaqend.com is NXDOMAIN so the zone is not a wildcard. own-https 2026-08-15: c. answers 302 and b. answers 422 over TLS - live services. VERSION TRAP: core:3.12.0 (2026-01-05) has NO host literal at all, only the template https://%s:443, so the base was runtime-supplied on the 3.x line and only became a compiled default in 4.x - an SDK-string list built from one version is wrong for the other. role=mediation: Appodeal is a mediation platform (its exchange is BidMachine, listed separately); rtb_exchange/external_seat unknown - Appodeal publishes no demand-partner or DSP onboarding surface. NOT observed on his phone: com/appodeal has zero DEX hits; only io/bidmachine does.
appodeal.com	Appodeal	mediation	unknown	unknown	medium	Appodeal's branded lane. own-extract com.appodeal.ads.sdk:core:3.12.0 and 4.3.0 (2026-08-15), class com/appodeal/ads/X2 beside getRequestPath(): five per-format literals http://herokuapp.appodeal.com/android_waterfall_{banner,mrec,native,interstitial,rewarded_video} - note the http:// scheme and the herokuapp. prefix on Appodeal's OWN domain (not herokuapp.com). own-dns 2026-08-15: herokuapp.appodeal.com CNAMEs to k8s-ingress.appodeal.com -> 23.109.148.60 / 188.42.141.249 / 188.42.139.41, so the org attribution is exact; api.appodeal.com -> 185.106.140.166. own-https 2026-08-15: GET / answers 200 over TLS. CONFIDENCE IS medium ON THE ROLE, NOT THE HOST: the host and org are certain, but whether these five URLs are the live ad-request path or a waterfall-config/reporting path was NOT established - the real base in 4.x is c.appbaqend.com (see that row), so treat these as the format-keyed request PATHS whose host may be rewritten. Seat: none published. NOT observed on his phone.
tapjoy.com	Tapjoy (Unity/ironSource)	exchange	unknown	unknown	high	TAPJOY'S OWN ENDPOINTS STILL EXIST AND STILL ANSWER - the answer to "were they folded into ironSource?" is BOTH, on different surfaces and at a datable cut. own-extract com.tapjoy:tapjoy-android-sdk (fetched from Tapjoy's own maven https://sdk.tapjoy.com, 2026-08-15), class com/tapjoy/TapjoyConfig, verbatim fields in EVERY version from 12.11.1 through 14.1.1: TJC_CONNECT_SERVICE_URL=https://connect.tapjoy.com/ and TJC_PLACEMENT_SERVICE_URL=https://placements.tapjoy.com/ (plus TJC_SERVICE_URL on tapjoyads.com, own row). own-dns 2026-08-15 (Google+Cloudflare): connect.tapjoy.com CNAMEs to tapjoy-com-lb-vpc-332546193.us-east-1.elb.amazonaws.com - a LIVE AWS ELB in Tapjoy's own account, not Unity's; placements.tapjoy.com -> 18.239.6.x; the zone is on Route 53 (control nonexistent-probe-control.tapjoy.com NXDOMAIN with an awsdns SOA, so no wildcard). own-https 2026-08-15: both answer 404 over TLS on / - live servers. RETIRED SUB-HOST: rpc.tapjoy.com (a TapjoyConfig constant through 13.2.0) is NXDOMAIN with a DANGLING CNAME still pointing at the deleted ELB rpc-tapjoy-com-lb-1378811527.us-east-1.elb.amazonaws.com. THE CORPORATE FOLD IS REAL AND MEASURED, on the web surface: own-https 2026-08-15, https://dev.tapjoy.com/en/ returns 301 to https://docs.unity.com/grow/offerwall (its CNAME target is literally named tapjoy-com-redirect-...elb.amazonaws.com) and https://www.tapjoy.com/ returns 301 to https://www.is.com/tapjoy/ - i.e. docs went to Unity, marketing went to ironSource. role=exchange in this table's sense (the demand entry point where the impression is offered), rtb_exchange/external_seat=unknown - no Offerwall bid-request spec or DSP intake was found, and whether Offerwall inventory is reachable through ironSource Exchange was NOT established.
tapjoyads.com	Tapjoy (Unity/ironSource)	exchange	unknown	unknown	high	Tapjoy's SECOND registrable domain - a tapjoy.com-only rule misses it entirely, same shape as applvn.com / adjust.io / appsflyersdk.com. own-extract com.tapjoy:tapjoy-android-sdk 12.11.1 through 14.1.1 (2026-08-15), class com/tapjoy/TapjoyConfig, verbatim: TJC_SERVICE_URL=https://ws.tapjoyads.com/ - the SDK's general service lane. own-dns 2026-08-15 (Google+Cloudflare): ws.tapjoyads.com -> 3.162.3.21/54/61/94 (AWS CloudFront); apex tapjoyads.com -> 52.206.27.43 / 44.220.18.180 / 54.87.79.191; control nonexistent-probe-control.tapjoyads.com NXDOMAIN with an awsdns SOA, so no wildcard. own-https 2026-08-15: GET https://ws.tapjoyads.com/ answers 404 over TLS - live. THIS LANE HAS NO SUCCESSOR: from SDK 14.2.0 the whole tapjoyads.com family is gone from the binary with nothing replacing TJC_SERVICE_URL, while connect./placements. were replaced by the Unity offerwall gateway (see offerwall.unity3d.com). Same org and seat position as tapjoy.com.
offerwall.unity3d.com	Tapjoy (Unity/ironSource)	exchange	unknown	unknown	high	WHERE TAPJOY TRAFFIC WENT, with the cut pinned to a version and a date. own-extract com.tapjoy:tapjoy-android-sdk 14.8.0 (2026-08-15), class com/tapjoy/internal/q2, verbatim: TJC_OPTION_SERVICE_URL=https://gateway-b.offerwall.unity3d.com/ and TJC_OPTION_PLACEMENT_SERVICE_URL=https://gateway-b.offerwall.unity3d.com/placements/ - and NOTE the field names: what used to be the runtime OVERRIDE key (TJC_OPTION_SERVICE_URL, read from raw/tapjoy_config) now holds the DEFAULT. I bisected the migration by fetching every release: 14.1.1 (published 2024-10-15) is the LAST with Tapjoy's own hosts and no unity3d.com; 14.2.0 (published 2024-12-04) is the FIRST with the Unity gateway and no tapjoy.com/tapjoyads.com host at all. So an app whose Tapjoy SDK predates Dec 2024 still talks to tapjoy.com, and a newer one talks only to Unity - BOTH rows must exist or one of the two eras silently misses. own-dns 2026-08-15 (Google+Cloudflare): gateway-b.offerwall.unity3d.com -> 13.225.196.41/99/121/126 (CloudFront); gateway-a.offerwall.unity3d.com also resolves to the same set and is NOT in the binary; bare offerwall.unity3d.com returns NOERROR with NO A record; gateway.offerwall.unity3d.com and the control probe are NXDOMAIN (awsdns SOA), so no wildcard - match the SUFFIX to catch gateway-a and any future letter. own-https 2026-08-15: GET / answers 404 over TLS. IT IS UNITY, NOT LEGACY IRONSOURCE: the host is unity3d.com, NOT is.com / supersonicads.com / ironsrc.mobi, and it is a DIFFERENT unity3d.com subdomain from both mediation.unity3d.com and unityads.unity3d.com, so neither existing row's suffix can ever match it. rtb_exchange/external_seat=unknown: no Offerwall bid-request spec or DSP intake found; whether Offerwall supply reaches ironSource Exchange's DSP path was NOT established.
appsflyer.com	AppsFlyer	attribution	no	no	high	MMP / attribution, NOT an exchange. own-extract com.appsflyer:af-android-sdk:6.17.0 (2026-08-15): the SDK builds hosts from format templates - https://%slaunches.%s/api/v..., %sinapps.%s, %sadrevenue.%s, %sgcdsdk.%s, %svalidate.%s, %smonitorsdk.%s, %spia.%s - where the LEADING %s is a PER-ACCOUNT PREFIX. A literal match on "launches.appsflyer.com" therefore misses real traffic; match the .appsflyer.com SUFFIX. launches.appsflyer.com resolves (own-dns). CLASSIFY OUT.
appsflyersdk.com	AppsFlyer	attribution	no	no	high	The second substitution value for the AppsFlyer templates above - the literal "appsflyersdk.com" is in af-android-sdk:6.17.0, as is https://privacy-sandbox.appsflyersdk.com/api/trigger (own-extract 2026-08-15); launches.appsflyersdk.com resolves (own-dns). An appsflyer.com-only rule MISSES this entire domain. CLASSIFY OUT.
onelink.me	AppsFlyer	attribution	no	no	high	AppsFlyer OneLink deep-link/click domain; go.onelink.me compiled into af-android-sdk:6.17.0 (own-extract 2026-08-15). Sits in the ad-CLICK path but is not a bidder. CLASSIFY OUT.
adjust.com	Adjust	attribution	no	no	high	MMP / attribution, NOT an exchange. own-extract com.adjust.sdk:adjust-android:5.4.1 (2026-08-15): app.adjust.com, gdpr.adjust.com, ssrv.adjust.com, subscription.adjust.com. app.adjust.com resolves (own-dns). CLASSIFY OUT.
adjust.io	Adjust	attribution	no	no	high	Adjust's parallel endpoint domain - app.adjust.io, gdpr.adjust.io, ssrv.adjust.io, subscription.adjust.io are ALL compiled into adjust-android:5.4.1 (own-extract 2026-08-15). An adjust.com-only rule MISSES these. Adjust also composes alternate base domains for data residency (reported: adjust.net.in, adjust.world) - delegated, not re-verified. CLASSIFY OUT.
branch.io	Branch	attribution	no	no	high	Deep-linking / attribution, NOT an exchange. own-extract io.branch.sdk.android:library:5.19.0 (2026-08-15): api.branch.io, api2.branch.io, api3-eu.branch.io, cdn.branch.io. api.branch.io resolves (own-dns). CLASSIFY OUT.
app.link	Branch	attribution	no	no	high	Branch deep-link click domain; branch.app.link and 2dalternate.app.link compiled into io.branch.sdk.android:library:5.19.0 (own-extract 2026-08-15). Per-customer subdomains (<brand>.app.link) mean a fixed list is incomplete - match the suffix. Carries ad-CLICK traffic but is not a bidder. CLASSIFY OUT.
amplitude.com	Amplitude	analytics	no	no	medium	Product analytics, NOT an exchange. api.amplitude.com and api2.amplitude.com both resolve (own-dns 2026-08-15). NOTE: NO ingest hostname is a literal in com.amplitude:analytics-android:1.21.3 - the SDK builds its URL at runtime (own check 2026-08-15), so these hosts are DNS-verified but NOT binary-verified. Reported current ingest is api2.amplitude.com (US) and api.eu.amplitude.com (EU), with bare api.amplitude.com as legacy. CLASSIFY OUT.
singular.net	Singular	attribution	no	no	medium	MMP / attribution. sdk-api-v1.singular.net resolves via sdk-gate.singular.net (own-dns 2026-08-15). SDK is not on Maven Central and was NOT fetched - no binary verification. CLASSIFY OUT.
kochava.com	Kochava	attribution	no	no	medium	MMP / attribution. control.kochava.com and imp.control.kochava.com resolve (own-dns 2026-08-15). SDK not fetched - no binary verification. CLASSIFY OUT.
